date,latitude,longitude
2020-11-01,0.34699700408873446,0.31617910124721416
2020-11-02,1.0,0.0
2020-11-03,0.03786646777118576,0.9190632067445018
2020-11-04,0.33090211220086096,0.7353079360409843
2020-11-05,0.9304164694555097,0.5366329745912398
2020-11-06,0.7480137211376314,0.38697249032595715
2020-11-07,0.43520256884651676,0.41568022460585086
2020-11-08,0.0,0.01691108581531216
2020-11-09,0.6931743375062588,1.0
2020-11-10,0.8385969274393293,0.9960826793331297
2020-11-11,0.19778177213598738,0.2217453787948637
2020-11-12,0.6303307396375639,0.2209598062764716
2020-11-13,0.2979925085835292,0.9706803994497142
2020-11-14,0.9303949104609697,0.9475609435581426
2020-11-15,0.7197379566252557,0.27146561293543825
2020-11-16,0.8314188892105269,0.8837433416361358
2020-11-17,0.7402761399184089,0.9543701375020333
2020-11-18,0.4813107899330132,0.5864143329603454
2020-11-19,0.764290284228447,0.3189757342104973
2020-11-20,0.4424515893987806,0.3255768443744907
2020-11-21,0.2834286404312231,0.44326882945730844
2020-11-22,0.31237246557699544,0.9914516492260702
2020-11-23,0.4761140791249358,0.029407771529799686
2020-11-24,0.6844980384335382,0.06703930641585595
2020-11-25,0.22014727008876012,0.6048780827580285
